id,component,type,submission_date,contact,source,reference,extraction_method,peak_identificaton,interpolation_method,extra_preprocessing,complete_sample_name,sample_source,sample_composition,sample_preparation,sample_substrate,raman_technique,raman_system,delivery_optics,laser_wavelength,laser_power,acquisition_time,orig_spectral_range,orig_spectral_resolution,orig_spatial_resolution,detector,calibration,cropping,spike_removal,denoising,background_removal,baseline_removal,normalization,additional_info
11,ascorbic acid,Vitamins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,ascorbic acid,Certa,Ph. Eur.,Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
12,cellulose,Saccharides/Polysaccharides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,cellulose,MP Biomedicals,98% purity,Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
13,chitin,Saccharides/Polysaccharides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,chitin,MP Biomedicals,Practical grade 90–95% purity,Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
14,citric acid,PrimaryMetabolites,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,citric acid,Sigma-Aldrich,"Anhydrous, 99% purity",Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
15,coenzyme a,PrimaryMetabolites,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,coenzyme a,Sigma-Aldrich,"Free acid from yeast, hydrate",Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
16,cytosine,NucleicAcids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,cytosine,Sigma-Aldrich,,Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
17,d-(+)-dextrose,Saccharides/Monosaccharides/Glucose,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,d-(+)-dextrose,MP Biomedicals,Anhydrous,Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
18,d-(+)-fucose,Saccharides/Monosaccharides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,d-(+)-fucose,Merck,,Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
19,d-(+)-galactosamine,Saccharides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,d-(+)-galactosamine hydrochloride,Sigma-Aldrich,Cell culture tested,Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
20,d-(+)-mannose,Saccharides/Monosaccharides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,d-(+)-mannose,"Sigma-Aldrich, for microbiology",,Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
21,d-(+)-trehalose,Saccharides/Disaccharides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,d-(+)-trehalose,Sigma-Aldrich,Biochimika ~99.5% (HPLC) purity,Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
22,d-(+)-xylose,Saccharides/Monosaccharides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,d-(+)-xylose,Merck,,Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
23,d-(-)-arabinose,Saccharides/Monosaccharides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,d-(-)-arabinose,Merck,,Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
24,d-(-)-fructose,Saccharides/Monosaccharides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,d-(-)-fructose,Sigma-Aldrich,99% purity,Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
25,d-fructose-6-phosphate,PrimaryMetabolites,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,d-fructose-6-phosphate (disodium salt),Sigma-Aldrich,,Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
26,fumarate,PrimaryMetabolites,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,fumarate (sodium salt),Merck,,Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
